//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 128 0 			5 0 0 			0.8		0.8		0.3			200 100 0			400.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			254 66 67 66			254 66 66 93			0	90	0	0.00		
	2 2 17 			83 83 83 			255 255 255 			34 29 55 			184 160 192 			255 128 0 			255 128 0 			1.9		0.8		-0.1			211 0 149			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			192 74 75 74			192 110 110 110			177	220	0	0.00		
// Midday
	2 2 17 			83 83 83 			255 255 255 			34 29 55 			184 160 192 			189 175 0 			168 98 14 			1.6		0.8		-0.1			236 0 190			800.0		100.0		-0.1			44 34 23			129 128 123			90 170 170 240			192 74 75 74			192 110 110 110			88	220	0	0.00		
// 7 PM
	2 2 17 			82 82 83 			255 255 255 			34 29 55 			184 160 192 			198 128 0 			255 128 0 			7.5		0.8		-0.1			110 40 75			800.0		100.0		0.8			120 40 40			155 155 155			50 97 97 240			192 74 75 74			252 60 60 86			88	220	0	0.00		
// 8 PM
	255 254 254 			123 123 123 			255 255 255 			34 29 55 			184 160 192 			255 128 0 			255 128 0 			1.9		0.8		0.9			100 60 0			800.0		43.0		0.8			0 0 0			163 83 63			67 67 67 240			192 74 75 74			192 110 110 110			177	220	0	0.00		
// 10 PM
	2 2 17 			83 83 83 			255 255 255 			34 29 55 			184 160 192 			255 128 0 			5 8 0 			0.8		0.3		0.3			160 100 0			800.0		41.0		0.8			70 27 10			55 55 55			67 67 62 240			192 74 75 74			192 109 110 109			111	60	0	0.00		
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			5 0 0 			0.8		0.3		0.8			200 102 0			800.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			192 50 50 135			192 179 114 114			25	80	0	0.00		
// 5 AM
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			255 128 0 			-0.1		0.3		0.8			150 100 0			800.0		50.0		0.8			35 9 10			27 30 36			53 104 104 240			192 50 50 135			192 179 114 114			25	80	0	0.00		
// 6 AM
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			255 128 0 			8.3		0.1		0.3			140 93 0			800.0		50.0		0.8			100 34 25			120 92 88			90 170 170 240			192 50 50 135			192 179 114 114			25	120	0	0.00		
// 7 AM
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			255 128 0 			1.1		0.1		0.8			100 50 75			800.0		10.0		0.5			120 40 40			159 142 106			145 170 170 240			192 50 50 135			192 179 114 114			25	120	0	0.00		
// Midday
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			255 128 0 			0.8		0.1		0.3			236 0 190			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			192 50 50 135			192 179 114 114			25	50	0	0.00		
// 7 PM
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			198 128 0 			255 128 0 			7.5		0.3		0.8			110 40 103			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			192 50 50 135			192 179 114 114			25	150	0	0.00		
// 8 PM
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			255 128 0 			1.9		0.3		0.8			100 60 0			800.0		10.0		0.8			120 40 40			72 107 159			67 67 67 240			192 50 50 135			192 179 114 114			25	150	0	0.00		
// 10 PM
	2 2 17 			83 83 83 			255 255 255 			105 87 87 			151 138 158 			255 128 0 			5 8 0 			0.8		0.3		0.3			160 100 0			800.0		10.0		0.8			70 27 10			15 11 34			67 67 62 240			192 50 50 135			192 179 114 114			25	80	0	0.00		
//
///////////////////////////////////////////SUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			5 0 0 			0.8		0.3		0.6			200 100 0			800.0		155.0		0.8			30 20 0			3 3 3			85 85 65 240			192 109 110 110			192 74 75 74			122	90	0	0.00		
// 5 AM
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			255 128 0 			-0.1		0.3		0.8			150 100 0			800.0		155.0		0.8			35 9 10			27 30 36			53 104 104 240			192 109 109 110			192 74 75 74			122	90	0	0.00		
// 6 AM
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			255 128 0 			8.3		0.3		0.8			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			192 110 110 110			192 74 75 74			122	120	0	0.00		
// 7 AM
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			255 128 0 			1.1		0.1		0.1			236 50 75			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			192 110 110 110			192 74 75 74			122	180	0	0.00		
// Midday
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			255 128 0 			2.5		0.8		0.1			236 0 190			800.0		80.0		-0.1			44 34 23			145 164 183			90 170 170 240			192 110 110 110			192 74 75 74			122	180	0	0.00		
// 7 PM
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 55 0 			255 255 255 			4.3		0.3		0.3			222 40 75			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			192 110 110 109			192 74 75 74			122	180	0	0.00		
// 8 PM
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			255 128 0 			1.9		0.3		0.7			100 60 0			800.0		10.0		0.8			120 40 40			72 107 159			67 67 67 240			192 110 110 110			192 74 75 74			122	120	0	0.00		
// 10 PM
	2 2 17 			83 83 83 			255 255 255 			136 93 119 			170 115 115 			255 128 0 			5 8 0 			0.8		0.3		0.6			160 100 0			800.0		10.0		0.8			70 27 10			15 11 34			67 67 62 240			192 109 110 109			192 74 75 74			122	90	0	0.00		
//
///////////////////////////////////////////CLOUDY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	21 22 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			10 10 0 			10 0 0 			0.8		0.8		0.1			200 100 0			700.0		79.0		0.8			30 20 0			23 28 30			55 55 66 240			192 9 9 10			192 65 64 64			155	51	0	0.00		
// 5 AM
	21 21 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			10 10 0 			10 0 0 			0.8		0.8		0.1			200 100 0			700.0		-22.0		0.8			70 27 10			23 28 30			55 55 66 240			192 9 9 10			192 65 64 64			155	100	0	0.00		
// 6 AM
	21 22 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			0 0 0 			0 0 0 			3.4		0.8		0.1			200 100 0			700.0		90.0		0.8			100 34 25			23 28 30			77 77 88 240			192 9 9 10			192 65 64 64			155	180	0	0.00		
// 7 AM
	22 22 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			0 0 0 			0 0 0 			-0.1		0.7		0.1			80 50 0			700.0		-22.0		0.5			120 40 40			92 116 125			77 77 88 240			28 9 9 10			192 65 64 64			155	180	0	0.00		
// Midday
	22 22 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			10 10 0 			10 0 0 			2.8		0.5		0.1			80 0 120			700.0		-22.0		0.3			120 100 100			92 116 123			125 125 125 240			192 9 9 10			192 65 64 64			155	180	0	0.00		
// 7 PM
	22 22 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			0 0 0 			0 0 0 			3.5		0.8		0.1			80 0 0			700.0		-22.0		0.8			120 100 100			92 116 123			123 128 134 240			192 9 9 10			192 65 64 64			155	180	0	0.00		
// 8 PM
	22 22 22 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			0 0 0 			0 0 0 			-0.1		0.8		0.1			80 50 0			700.0		-22.0		0.8			120 100 100			46 58 61			122 126 134 240			192 9 9 10			192 65 64 64			155	180	0	0.00		
// 10 PM
	21 22 21 			140 140 141 			255 255 255 			159 172 212 			183 177 199 			10 10 0 			10 0 0 			0.8		0.8		0.3			200 100 0			700.0		111.0		0.8			70 27 10			23 28 30			10 70 60 240			192 9 9 10			192 65 64 64			155	20	0	0.00		
//
///////////////////////////////////////////SUNNY_SF 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	38 36 28 			200 189 180 			255 255 255 			193 193 192 			207 207 206 			255 128 0 			5 0 0 			0.8		0.5		0.3			200 100 0			450.0		100.0		0.8			0 0 0			3 3 3			19 40 52 240			192 15 15 15			192 66 4 0			50	120	0	0.00		
// 5 AM
	38 36 28 			200 189 180 			255 255 255 			192 192 193 			206 206 207 			255 128 0 			255 0 0 			-0.1		0.3		0.8			150 100 0			454.0		100.0		0.8			0 0 0			0 0 0			21 41 56 240			192 14 15 14			192 66 4 0			50	120	0	0.00		
// 6 AM
	38 36 28 			200 189 180 			255 255 255 			192 192 193 			207 207 207 			255 128 0 			255 128 0 			3.0		0.1		0.8			140 100 0			455.0		66.0		0.8			0 0 0			0 0 0			178 160 160 200			192 15 15 15			192 66 4 0			50	120	70	0.00		
// 7 AM
	38 36 28 			200 189 180 			255 255 255 			192 192 193 			207 207 207 			255 128 0 			255 0 0 			3.3		0.8		0.1			100 50 0			455.0		66.0		0.5			0 0 0			0 0 0			145 170 170 240			192 14 14 15			192 66 4 0			50	120	0	0.00		
// Midday
	38 36 28 			200 189 180 			255 255 255 			193 193 193 			207 207 207 			255 128 0 			255 128 0 			2.5		0.8		0.1			150 0 150			455.0		66.0		0.8			0 0 0			0 0 0			90 170 170 240			192 15 15 15			192 66 4 0			50	120	0	0.00		
// 7 PM
	38 36 28 			200 189 180 			255 255 255 			192 192 193 			206 207 207 			255 0 0 			255 0 0 			3.3		0.8		0.1			110 40 0			455.0		66.0		0.8			0 0 0			0 0 0			103 95 87 240			192 14 15 15			192 66 4 0			50	120	0	0.00		
// 8 PM
	38 36 28 			200 189 180 			255 255 255 			192 192 193 			207 207 207 			255 128 0 			155 0 0 			1.9		0.6		0.3			100 60 0			455.0		66.0		0.8			0 0 0			0 0 0			67 67 67 240			192 15 15 15			192 66 4 0			50	120	0	0.00		
// 10 PM
	38 36 28 			200 189 180 			255 255 255 			192 192 193 			206 206 207 			255 5 8 			5 8 0 			0.8		0.5		0.5			160 100 0			455.0		66.0		0.8			0 0 0			0 0 0			44 73 96 240			192 15 15 15			192 66 4 0			50	112	0	0.00		
//
///////////////////////////////////////////EXTRASUNNY_SF 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 128 0 			5 0 0 			0.8		0.5		0.3			200 100 0			450.0		100.0		0.8			30 20 0			3 3 3			19 40 52 240			192 97 97 82			192 122 74 56			0	120	0	0.00		
// 5 AM
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 128 0 			255 0 0 			-0.1		0.3		0.8			150 100 0			454.0		100.0		0.8			70 27 10			50 43 36			21 41 56 240			192 97 97 82			192 122 74 56			0	120	0	0.00		
// 6 AM
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 128 0 			255 128 0 			2.5		0.1		0.1			140 100 0			455.0		66.0		0.8			100 34 25			120 92 88			178 160 160 200			192 97 97 82			192 122 74 56			0	120	0	0.00		
// 7 AM
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 128 0 			255 0 0 			1.6		0.8		0.1			100 50 0			455.0		66.0		0.5			120 40 40			159 142 106			145 170 170 240			192 97 97 82			192 122 74 56			0	120	0	0.00		
// Midday
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 128 0 			255 128 0 			2.5		0.8		0.1			150 0 150			455.0		66.0		0.8			120 100 100			180 255 255			90 170 170 240			192 97 97 82			192 122 74 56			0	120	0	0.00		
// 7 PM
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 0 0 			255 0 0 			3.3		0.8		0.1			110 40 0			455.0		66.0		0.8			120 40 40			200 123 96			103 95 87 240			192 97 97 82			192 122 74 56			0	120	0	0.00		
// 8 PM
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 128 0 			155 0 0 			1.9		0.6		0.3			100 60 0			455.0		66.0		0.8			120 40 40			0 0 0			67 67 67 240			192 97 97 82			192 122 74 56			0	120	0	0.00		
// 10 PM
	2 2 17 			67 67 83 			255 255 255 			71 65 59 			148 127 127 			255 5 8 			5 8 0 			0.8		0.5		0.5			160 100 0			455.0		66.0		0.8			70 27 10			0 0 0			44 73 96 240			192 97 97 82			192 122 74 56			0	112	0	0.00		
//
///////////////////////////////////////////CLOUDY_SF 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			0.8		0.8		0.8			200 100 0			1150.0		-22.0		0.8			30 20 0			23 28 30			55 55 66 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
// 5 AM
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			-0.1		0.8		0.8			200 100 0			1150.0		-22.0		0.8			70 27 10			23 28 30			55 55 66 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
// 6 AM
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			3.4		0.8		0.8			200 100 0			1150.0		-22.0		0.8			100 34 25			23 28 30			77 77 88 240			192 81 49 54			192 75 74 74			155	0	100	0.00		
// 7 AM
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			-0.1		0.7		0.8			200 50 0			1150.0		-22.0		0.5			120 40 40			46 58 61			77 77 88 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
// Midday
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			2.8		0.5		0.7			80 0 120			1150.0		-22.0		0.3			120 100 100			92 116 123			125 125 125 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
// 7 PM
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			3.5		0.8		0.8			80 0 0			1150.0		-22.0		0.8			120 100 100			46 58 61			123 128 134 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
// 8 PM
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			1.9		0.8		0.8			80 50 0			1150.0		-22.0		0.8			120 100 100			46 58 61			122 126 134 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
// 10 PM
	2 2 17 			76 67 83 			255 255 255 			52 69 75 			206 173 173 			10 10 0 			10 0 0 			0.8		0.8		0.8			200 100 0			1150.0		-22.0		0.8			70 27 10			23 28 30			77 77 88 240			192 81 49 54			192 75 74 74			155	0	0	0.00		
//
///////////////////////////////////////////RAINY_SF 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	20 30 30 			135 173 197 			255 255 255 			10 10 10 			20 20 20 			0 0 0 			0 0 0 			0.8		0.8		0.5			200 100 0			650.0		5.0		0.8			30 20 0			0 0 0			59 68 77 240			192 124 124 124			192 16 48 10			155	0	0	0.00		
// 5 AM
	20 30 30 			135 173 197 			255 255 255 			10 10 10 			20 20 20 			0 0 0 			0 0 0 			-0.1		0.8		0.6			200 100 0			650.0		5.0		0.8			70 27 10			0 0 0			59 68 77 240			192 124 124 124			192 0 48 20			155	0	0	0.00		
// 6 AM
	20 30 30 			135 173 197 			255 255 255 			10 10 10 			20 20 20 			0 0 0 			0 0 0 			3.4		0.8		0.3			200 100 0			650.0		5.0		0.8			100 34 25			0 0 0			62 72 77 240			192 124 124 124			192 0 48 20			155	0	100	0.00		
// 7 AM
	20 30 30 			135 173 197 			255 255 255 			40 40 40 			50 50 50 			0 0 0 			0 0 0 			2.5		0.7		0.3			80 80 0			650.0		5.0		0.8			120 40 40			0 0 0			107 117 122 240			192 124 124 124			192 0 48 20			155	0	0	0.00		
// Midday
	20 30 30 			186 186 186 			255 255 255 			80 80 80 			70 70 70 			0 0 0 			0 0 0 			0.8		0.5		0.1			80 50 120			650.0		5.0		0.7			120 100 100			0 0 0			141 141 140 240			192 124 124 124			192 30 38 30			155	0	0	0.00		
// 7 PM
	20 30 30 			135 173 193 			255 255 255 			80 80 80 			70 70 70 			0 0 0 			0 0 0 			3.5		0.8		0.5			80 50 0			650.0		5.0		0.8			120 40 40			0 0 0			116 135 144 240			192 124 124 124			192 10 46 22			155	0	0	0.00		
// 8 PM
	20 30 30 			167 198 223 			255 255 255 			40 40 40 			70 70 70 			0 0 0 			0 0 0 			1.9		0.8		0.8			80 80 0			650.0		5.0		0.8			120 40 40			0 0 0			132 176 189 240			192 124 124 124			192 0 48 20			155	0	0	0.00		
// 10 PM
	20 30 30 			167 198 223 			255 255 255 			40 40 40 			50 50 50 			0 0 0 			0 0 0 			0.8		0.8		0.8			200 100 0			650.0		5.0		0.8			70 27 10			0 0 0			161 176 189 240			192 124 124 124			192 0 48 20			155	0	0	0.00		
//
///////////////////////////////////////////FOGGY_SF 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	33 33 33 			141 141 141 			255 255 255 			0 40 40 			0 40 40 			10 10 0 			10 0 0 			0.8		0.8		0.7			60 50 0			150.0		-200.0		0.8			30 20 0			0 0 0			120 120 125 240			192 124 124 124			192 30 30 32			0	120	0	0.00		
// 5 AM
	33 33 33 			210 141 141 			255 255 255 			0 45 45 			0 45 45 			10 10 0 			10 0 0 			-0.1		0.8		0.7			60 50 0			150.0		-200.0		0.8			70 27 10			0 0 0			120 120 125 240			192 124 124 124			192 30 30 32			0	120	0	0.00		
// 6 AM
	33 33 33 			141 141 141 			255 255 255 			0 45 45 			0 45 45 			0 10 0 			10 0 0 			3.4		0.8		0.7			60 50 0			150.0		-200.0		0.8			100 34 25			0 0 0			128 128 125 240			192 124 124 124			192 30 30 32			0	120	100	0.00		
// 7 AM
	33 33 33 			141 141 141 			255 255 255 			40 50 50 			40 50 50 			10 10 0 			10 0 0 			2.5		0.7		0.7			60 50 0			150.0		-200.0		0.6			120 40 40			0 0 0			128 128 125 240			192 124 124 124			192 30 30 32			0	120	0	0.00		
// Midday
	13 13 13 			141 141 141 			255 255 255 			146 155 155 			127 144 144 			10 10 0 			10 0 0 			0.8		0.5		0.3			60 50 60			250.0		-30.0		0.3			120 100 100			0 0 0			128 128 128 240			192 124 124 124			192 30 30 32			0	120	0	0.00		
// 7 PM
	13 13 13 			141 141 141 			255 255 255 			100 100 105 			100 100 105 			10 10 0 			10 0 0 			3.5		0.8		0.3			60 50 0			150.0		-70.0		0.8			120 40 40			0 0 0			123 123 124 240			192 124 124 124			192 30 30 32			0	111	0	0.00		
// 8 PM
	13 13 13 			141 141 141 			255 255 255 			41 60 60 			35 53 50 			10 10 0 			10 0 0 			1.9		0.8		0.8			60 50 0			150.0		-80.0		0.8			120 40 40			0 0 0			122 121 124 240			192 124 124 124			192 30 30 32			0	120	0	0.00		
// 10 PM
	33 33 33 			141 141 141 			255 255 255 			0 40 40 			0 40 40 			10 10 0 			10 0 0 			0.8		0.8		0.7			60 50 0			150.0		-100.0		0.8			70 27 10			0 0 0			123 124 120 240			192 124 124 124			192 30 30 32			0	120	0	0.00		
//
///////////////////////////////////////////SUNNY_VEGAS 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	25 22 22 			144 137 137 			255 255 255 			16 7 23 			24 0 37 			255 255 0 			5 0 0 			0.8		0.3		0.8			200 100 0			1000.0		100.0		0.8			30 20 0			3 3 3			38 38 55 240			192 64 64 64			192 88 27 0			122	0	0	0.00		
// 5 AM
	24 16 25 			138 138 138 			255 255 255 			20 4 19 			31 11 27 			255 128 0 			255 0 0 			-0.1		0.3		0.8			150 100 0			1000.0		100.0		0.8			70 27 10			50 43 36			53 62 68 240			192 64 64 152			192 79 27 0			122	0	0	0.00		
// 6 AM
	0 5 10 			188 188 188 			255 255 255 			90 205 255 			200 144 85 			255 128 0 			255 128 0 			8.3		0.3		0.1			140 100 0			1000.0		100.0		0.8			100 34 25			120 92 88			185 160 160 240			192 64 64 64			192 77 66 0			122	0	0	0.00		
// 7 AM
	13 13 1 			188 188 188 			255 255 255 			90 205 255 			90 200 255 			255 128 0 			255 0 0 			3.3		0.1		0.1			100 50 0			1000.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			192 64 64 64			192 64 64 22			122	0	0	0.00		
// Midday
	13 13 1 			188 188 188 			255 255 255 			90 180 255 			90 200 255 			255 128 0 			255 128 0 			2.5		0.1		0.3			150 0 150			1000.0		10.0		0.8			120 100 100			180 255 255			90 170 170 240			192 64 64 64			192 128 111 44			122	88	0	0.00		
// 7 PM
